"WS_Name","Month","Flow.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd","Flow.acftmo","load.TN.tonmo","load.TDN.tonmo","load.TP.tonmo","load.TDP.tonmo","load.TOC.tonmo","load.DOC.tonmo"
"American Fork River",2,0.67,2.196531910656,2.229315969024,0.00754033342464,0.01950651472896,1.3720128427008,1.5195411053568,37.2100027777841,0.061502893498368,0.062420847132672,0.00021112933588992,0.00054618241241088,0.0384163595956224,0.0425471509499904
"American Fork River",3,0.6,2.77441210368,2.84780924928,0.0104223946752,0.0068993316864,1.62941663232,3.03864182784,36.892646677334,0.08600677521408,0.08828208672768,0.0003230942349312,0.0002138792822784,0.05051191560192,0.09419789666304
"American Fork River",4,3.425,5.335911320832,4.591174950144,0.0482769725184,0.0298053575424,9.47924135424,13.32586342656,203.802120757853,0.16007733962496,0.13773524850432,0.001448309175552,0.000894160726272,0.2843772406272,0.3997759027968
"American Fork River",5,66.3666666666667,47.573746311168,49.704302343168,12.7609989940224,0.7783930395648,230.60241414144,287.79102342144,4080.73664080955,1.47478613564621,1.54083337263821,0.395590968814694,0.0241301842265088,7.14867483838464,8.92152172606464
"American Fork River",6,0.25,0.57922580736,0.6972728832,0.00703389312,0.0061164288,1.0214436096,1.8165793536,14.8760672086024,0.0173767742208,0.020918186496,0.0002110167936,0.000183492864,0.030643308288,0.054497380608
"American Fork River",7,7.83333333333333,4.23542306304,4.46540078592,0.40246101504,0.063243873792,19.3564583424,26.0641419264,481.653998287416,0.13129811495424,0.13842742436352,0.01247629146624,0.001960560087552,0.6000502086144,0.8079883997184
"American Fork River",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Fork River",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Fork River",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Fork River",11,1.41,4.208592328704,3.96711571968,0.0155234962944,0.01448859654144,6.20939851776,4.415572279296,83.9010190565176,0.12625776986112,0.1190134715904,0.000465704888832,0.0004346578962432,0.1862819555328,0.13246716837888
"American Fork River",12,0.63,2.836065705984,2.604864697344,0.0508642219008,0.01017284438016,3.051853314048,2.173289481216,38.7372790112007,0.087918036885504,0.080750805617664,0.0015767908789248,0.00031535817578496,0.094607452735488,0.067371973917696
"Timp SSD",1,28.6841369736119,602.276386013506,603.298901313133,35.7758977901101,27.0790940440385,404.095755382452,427.27757481236,1763.72288435286,18.6705679664187,18.7022659407071,1.10905283149341,0.839451915365194,12.526968416856,13.2456048191832
"Timp SSD",2,31.8257310829338,548.586830327059,544.416928544971,81.5719571016046,72.5380771796189,372.597401450991,333.98627176695,1767.51573432982,15.3604312491576,15.2436739992592,2.28401479884493,2.03106616102933,10.4327272406277,9.35161560947461
"Timp SSD",3,31.6260839593885,768.683240126439,753.153616643226,67.6360280177542,63.1147501741396,502.115029111721,486.497394965257,1944.6165688357,23.8291804439196,23.34776211594,2.09671686855038,1.95655725539833,15.5655659024633,15.081419243923
"Timp SSD",4,27.0977034082384,648.037109953118,682.861054105215,29.0797934060456,26.209516697956,327.117057090749,341.710462116585,1612.42902839891,19.4411132985936,20.4858316231564,0.872393802181367,0.78628550093868,9.81351171272246,10.2513138634975
"Timp SSD",5,25.2530644163223,577.731819944445,523.79096957631,111.329023794357,102.674557234334,382.803460985233,435.473127078071,1552.75397171889,17.9096864182778,16.2375200568656,3.45119973762506,3.18291127426437,11.8669072905422,13.4996669394202
"Timp SSD",6,28.622155726449,657.011360209436,566.394042874688,115.588345060307,142.095212137847,438.061246938577,493.009237694568,1703.14044896696,19.7103408062831,16.9918212862407,3.4676503518092,4.26285636413542,13.1418374081573,14.790277130837
"Timp SSD",7,34.1485854414958,616.849704400039,624.061847030482,129.954771178374,126.120627814372,491.492236692521,683.098075047136,2099.71949537309,19.1223408364012,19.3459172579449,4.02859790652961,3.90973946224554,15.2362593374681,21.1760403264612
"Timp SSD",8,31.73799084439,645.976845020941,659.203653150265,140.250634401725,135.246109245654,510.193083106401,689.865432605239,1951.49747078423,20.0252821956492,20.4353132476582,4.34776966645349,4.19262938661529,15.8159855762984,21.3858284107624
"Timp SSD",9,32.5537740754737,691.070150195313,663.752763453971,89.454097987047,101.079292917113,490.549197704037,703.805186042639,1937.08852416162,20.7321045058594,19.9125829036191,2.68362293961141,3.03237878751339,14.7164759311211,21.1141555812792
"Timp SSD",10,29.0402254408302,770.78532563222,820.436664621726,74.7409897587874,70.1379931091249,419.59257202345,790.210837627728,1785.61796103112,23.8943450945988,25.4335366032735,2.31697068252241,2.17427778638287,13.0073697327269,24.4965359664596
"Timp SSD",11,29.2248206686818,685.795721782069,858.220683341456,53.5755783338179,50.9352105201494,400.464290309554,457.323595074986,1739.00158570665,20.5738716534621,25.7466205002437,1.60726735001454,1.52805631560448,12.0139287092866,13.7197078522496
"Timp SSD",12,29.2867153177341,570.994091527515,595.896668268085,25.6667734207984,20.6936810804978,453.628030479607,510.578942042917,1800.77406759471,17.700816837353,18.4727967163106,0.795669976044749,0.641504113495431,14.0624689448678,15.8279472033304
"Lindon Drain",1,14.715,99.211655678976,99.062414816256,3.0445380652032,1.05110828928,120.016810570752,133.587208820736,904.792159761616,3.07556132604826,3.07093485930394,0.0943806800212992,0.03258435696768,3.72052112769331,4.14120347344282
"Lindon Drain",2,11.35,114.4811978496,115.58093174784,1.162488457728,0.656659795968,63.2194080768,104.85883206144,630.348554519179,3.2054735397888,3.23626608893952,0.032549676816384,0.018386474287104,1.7701434261504,2.93604729772032
"Lindon Drain",3,12.45,74.27057163264,76.25474113536,1.15661668608,0.487051225344,67.89235968,97.8628608,765.52241855468,2.30238772061184,2.36389697519616,0.03585511726848,0.015098587985664,2.10466315008,3.0337486848
