"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NH3.d","NH3.t","NO23.d","NO23.t","TDN","TN","DOC","TOC","TDP","TP","CO3.t","TKN.t","TKN.d","NO3.t","NO2.t","PO4","TKN.t2","Total Kjeldahl nitrogen_Total","orig.units","Flow.cfs","SiteType","OBJECTID_1","FID_UL_sub","OBJECTID","TARGET_FID","Type","wsa_sqkm","WS_Name","Monitored_","Shape_Leng","Shape_Area","geometry","Backwater","Flow.USGS.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd"
"WFWQC_UT-4996536",2016-09-08,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,9,2016,"Accepted",NA,31,NA,NA,NA,12300,NA,NA,469,1720,NA,NA,NA,NA,5400,75,NA,1.29,NA,NA,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-09-13,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,9,2016,"Accepted",NA,23,NA,NA,NA,11900,NA,NA,1080,1180,NA,NA,NA,NA,5800,84,1210,NA,"m3.sec",15.891615,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,462.671674723077,NA,45.8783677456497,41.9903704790692,NA,NA
"WFWQC_UT-4996540",2016-10-11,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,10,2016,"Accepted",NA,47,NA,NA,NA,14400,NA,NA,1240,1420,NA,NA,NA,NA,4000,54,1360,2.13,"m3.sec",10.947557,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,385.689328844784,NA,38.0332532610828,33.212136650523,NA,NA
"WFWQC_UT-4996536",2016-10-20,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,10,2016,"Accepted",NA,27,NA,NA,NA,13100,NA,NA,1150,1210,NA,NA,NA,NA,8200,137,1140,1.37,NA,NA,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-11-09,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,11,2016,"Accepted",NA,85,NA,NA,NA,14400,NA,NA,1290,1370,NA,NA,NA,NA,4700,48,1360,1.25,"m3.sec",14.479027,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,510.105241375359,NA,48.5308458808501,45.6969278732092,NA,NA
"WFWQC_UT-4996536",2016-11-10,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,11,2016,"Accepted",NA,1440,NA,NA,NA,12800,NA,NA,1170,1290,NA,NA,NA,NA,4200,32,1240,0.601,NA,NA,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-12-21,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,12,2016,"Accepted",NA,13,NA,NA,NA,1550,NA,NA,1020,1100,NA,NA,NA,NA,5400,23,1050,NA,"m3.sec",10.241263,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,38.8367726961761,NA,27.5615806230927,25.5571020323224,NA,NA
"WFWQC_UT-4996540",2017-01-25,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,1,2017,"Accepted",NA,160,NA,NA,NA,13100,NA,NA,1060,1080,NA,NA,NA,NA,3200,19,406,1.38,"m3.sec",16.1388179,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,517.250516351941,NA,42.6435540198547,41.8538585750426,NA,NA
"WFWQC_UT-4996540",2017-02-16,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,2,2017,"Accepted",NA,124,NA,NA,NA,14500,NA,NA,1260,1290,NA,NA,NA,NA,3800,27,1280,1.32,"m3.sec",19.6702879,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,697.809109411939,NA,62.0809483545794,60.6372053695892,NA,NA
"WFWQC_UT-4996540",2017-03-15,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)",NA,40.203089424,-111.656212371,3,2017,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m3.sec",16.9863707,"Storm Sewer",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,NA,NA,NA,NA
