"WS_Name","Month","Flow.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd","Flow.acftmo","load.TN.tonmo","load.TDN.tonmo","load.TP.tonmo","load.TDP.tonmo","load.TOC.tonmo","load.DOC.tonmo","WS_Type"
"Powell Slough Major",12,25.9769783833333,521.973489788216,391.085656292045,68.4973933902279,63.6212410720996,150.527270025216,138.917798848512,1597.2658087351,16.1811781834347,12.1236553450534,2.12341919509707,1.97225847323509,4.6663453707817,4.30645176430387,"WWTP"
"Provo River",1,126.033333333333,143.813225355264,165.939365763072,4.45969211904,2.5449563160576,701.22898934784,919.81873732608,7749.50539372221,4.45820998601318,5.14412033865523,0.13825045569024,0.0788936457977856,21.738098669783,28.5143808571085,"No WWTP"
"Provo River",2,121.133333333333,150.971078098944,171.229668913152,3.1988596414464,1.7404257374208,604.8169454592,874.526989824,6727.42040270983,4.22719018677043,4.79443072956826,0.0895680699604992,0.0487319206477824,16.9348744728576,24.486755715072,"No WWTP"
"Provo River",3,171.55,178.265519290368,196.794139382784,5.4941555667456,3.0778236707328,1056.91767335424,1245.8920808448,10548.2225624944,5.52623109800141,6.1006183208663,0.170318822569114,0.0954125337927168,32.7644478739814,38.6226545061888,"No WWTP"
"Provo River",4,134.45,142.078402266624,182.84574583296,4.2501473459712,2.7877336856064,823.84748407296,1074.79844130816,8000.34894478637,4.26235206799872,5.4853723749888,0.127504420379136,0.083632010568192,24.7154245221888,32.2439532392448,"No WWTP"
"Provo River",5,351.975,464.0060507328,645.397493289984,19.947142259712,13.122369840384,2368.342395648,3781.50718295808,21642.148857091,14.3841875727168,20.0073222919895,0.618361410051072,0.406793465051904,73.418614265088,117.2267226717,"No WWTP"
"Provo River",6,514.375,600.24399746688,710.86542292224,54.27168438528,18.2667146112,3697.9347464064,4575.104033472,30607.5082816995,18.0073199240064,21.3259626876672,1.6281505315584,0.548001438336,110.938042392192,137.25312100416,"No WWTP"
"Provo River",7,145.85,190.354212663552,236.715703174656,11.485858150656,6.834314048256,1369.12527666432,2028.53991216384,8967.98752981527,5.90098059257011,7.33818679841434,0.356061602670336,0.211863735495936,42.4428835765939,62.884737277079,"No WWTP"
"Provo River",8,81.25,111.393379934208,176.480623037952,8.087876130816,5.212665280512,641.07268881408,1108.64920485888,4995.87923755564,3.45319477796045,5.47089931417651,0.250724160055296,0.161592623695872,19.8732533532365,34.3681253506253,"No WWTP"
"Provo River",9,68.6,82.130733119232,123.541524995328,7.883098094592,5.1124047796224,533.95322466816,1080.6108835968,4081.9928420405,2.46392199357696,3.70624574985984,0.23649294283776,0.153372143388672,16.0185967400448,32.418326507904,"No WWTP"
"Provo River",10,81.6,101.39489455104,145.25213561856,7.020681633792,4.240805520384,612.40457926656,1380.23658510336,5017.39994811742,3.14324173108224,4.50281620417536,0.217641130647552,0.131464971131904,18.9845419572634,42.7873341382042,"No WWTP"
"Provo River",11,88.7666666666667,76.027943955456,67.656917947392,3.727270158336,1.66856177664,516.57481939968,547.01506225152,5281.99559686776,2.28083831866368,2.02970753842176,0.11181810475008,0.0500568532992,15.4972445819904,16.4104518675456,"No WWTP"
"Provo River",12,127.4,132.645441890304,152.587446349824,3.9322602307584,2.055283181568,655.90298984448,898.98128769024,7833.53864448725,4.11200869859942,4.73021083684454,0.12190006715351,0.063713778628608,20.3329926851789,27.8684199183974,"No WWTP"
"Mill Race",1,25.0863433133333,948.523767052771,865.23939657216,78.5113587433888,72.6350165009983,198.571165830144,220.780408117248,1542.50266714184,29.4042367786359,26.822421293737,2.43385212104505,2.25168551153095,6.15570614073446,6.84419265163469,"WWTP"
"Mill Race",2,23.9415886633333,860.290195911729,641.60604140544,86.2602249009876,84.1464266921135,166.937893152768,171.048133306368,1329.65161293612,24.0881254855284,17.9649691593523,2.41528629722765,2.35609994737918,4.6742610082775,4.7893477325783,"WWTP"
"Mill Race",3,22.77419901,651.83026378752,627.70217545728,76.5212391045195,68.7891375079046,188.119086087168,188.500017272832,1400.3341290587,20.2067381774131,19.4587674391757,2.3721584122401,2.13246326274504,5.83169166870221,5.84350053545779,"WWTP"
"Mill Race",4,29.75445865,756.580590402048,749.338004731392,94.8176715063896,81.9763040018988,264.064348158106,254.355985381018,1770.51730653192,22.6974177120614,22.4801401419418,2.84453014519169,2.45928912005697,7.92193044474317,7.63067956143053,"WWTP"
"Mill Race",5,33.20868745,707.321500097675,550.69786597248,85.9173771677918,68.3471431115905,231.406141429094,286.261997773824,2041.92728785144,21.9269665030279,17.0716338451469,2.66343869220155,2.11876143645931,7.17359038430193,8.87412193098854,"WWTP"
