"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-401414111435301","2005-08-26","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,8,2005,"Accepted",NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2007-08-23","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,8,2007,"Accepted",NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2008-07-17","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,7,2008,"Accepted",0.02,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2009-07-28","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,7,2009,"Accepted",NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2010-08-02","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,8,2010,"Accepted",NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2011-08-09","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,8,2011,"Accepted",NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2012-07-23","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,7,2012,"Accepted",NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2014-07-15","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,7,2014,"Accepted",NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2015-06-22","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,6,2015,"Accepted",NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2018-06-25","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,6,2018,"Accepted",NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401541111425001","2017-06-28","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)28ddd- 3","Well",40.26130556,-111.7147778,6,2017,"Accepted",0.442,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401604111435001","2004-08-13","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)28cba-S1","Spring",40.26766667,-111.7305278,8,2004,"Accepted",0.56,0.031,NA,0.557,0.56,NA,0.02,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2003-08-27","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,8,2003,"Accepted",0.42,0.01,NA,0.418,0.47,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2003-11-24","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,11,2003,"Accepted",0.44,0.008,NA,0.444,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2004-02-24","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,2,2004,"Accepted",0.4,0.008,NA,0.397,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
